Cliente,Cred_perd,Cred_PF,Electronico,Monto_prom,Saldo,Ing_tot
859703,1,1,1,531.4239174,734.7736411,-78
809043,1,1,11,1498.502495,663.7587489,-85
826769,1,1,16,1634.052837,524.3523447,5
801551,2,1,5,1366.645122,876.6250532,-62
842536,2,2,16,1153.340145,987.4236297,-19
804945,1,1,8,1488.506195,1040.332151,-64
787114,1,1,2,1420.448389,1511.516554,27
782445,1,1,20,1739.360428,837.4671295,-77
852311,1,0,15,536.6862215,56.51373683,-47
824774,1,0,2,495.5561311,859.9675802,10
797908,1,1,15,1528.482046,537.8828654,-66
800330,1,1,15,1835.750744,900.6275951,-70
800460,1,1,5,1657.490646,824.9675952,-9
789837,1,1,15,1478.845299,274.4205717,-39
799229,1,1,14,1283.160299,890.5906714,50
806172,1,0,15,1636.092923,280.5739349,31
814823,1,1,21,962.5027854,1118.416718,11
836825,1,1,7,1888.192439,-88.28038862,-17
822462,1,1,10,1538.432591,276.7852406,6
835695,1,1,7,1099.872749,889.0655496,-40
815259,1,1,17,1723.668714,1188.775193,0
837215,1,1,20,1634.294706,-5.898243607,-74
824336,1,1,1,1389.462105,221.5968578,-69
561369,1,1,14,475.8443154,0,-79
561378,0,1,19,511.5831016,0,44
561408,2,2,12,494.3704262,160.749271,-93
561426,1,0,13,1540.224597,190.997092,-90
561510,1,0,3,1043.384937,180.9916507,29
561529,1,0,10,484.9146491,0,-41
561556,1,1,18,1490.48226,169.0820249,14
561565,0,0,19,477.2620579,103.3787859,8
561592,1,1,7,1387.334347,0,-96
561631,0,0,8,485.9966865,0,40
561668,0,0,18,527.5643144,0,7
561695,0,0,4,1391.388574,168.6986402,47
561743,2,0,22,1576.617247,0,31
561752,1,0,10,2042.092715,0,2042.092715
561828,1,1,14,1599.870789,70.64601597,19
561837,1,0,18,528.1902942,128.019196,-52
561855,1,0,4,543.8072803,0,-57
561864,1,1,21,1420.748814,2.610530746,-12
561912,1,1,16,1380.465434,18.36563386,1380.465434
561949,0,0,17,1061.007717,159.4606028,43
561976,0,0,11,1256.339605,0,8
561994,0,0,5,1566.425009,165.4914351,46
562003,0,0,9,1917.895785,0,3835.79157
562067,1,1,12,1304.551328,51.43675135,-23
562094,0,3,9,1309.224844,0,3927.674533
562106,0,0,7,1787.546661,0,8
562115,1,0,3,1400.023527,0,-27
562142,1,1,18,489.1522247,46.41179844,15
562254,1,0,6,487.2719942,68.38152337,6
562272,0,0,4,1659.322479,123.3903428,3318.644959
562302,0,1,8,1338.917515,0,35
562384,1,1,21,1225.705735,0,-76
562414,1,1,12,527.8224629,0,0
562469,0,7,11,1803.335309,0,12623.34716
562478,0,0,4,1622.63467,0.955482077,10
562496,1,1,6,1523.240753,0,-68
562508,1,1,20,511.3583034,81.5647209,-78
562535,1,1,5,494.2297766,0,-38
562544,1,0,21,1842.552055,12.64690034,1842.552055
562553,4,1,6,1382.074321,0,46
562599,2,0,8,499.393436,77.37406163,-13
562601,1,0,2,1979.936133,31.68926925,-63
562656,1,0,21,523.7247524,124.326403,-95
562665,1,1,16,506.9472608,0,-18
562674,0,1,20,1956.734033,0,45
562722,0,1,3,1650.781309,0,32
562731,1,0,4,486.4460345,0,27
562740,1,0,19,459.3237514,99.34646738,-17
562759,0,1,12,458.8679292,160.86306,25
562777,1,1,17,1589.123174,0,-55
562786,1,0,21,1689.948857,78.95253105,23
562807,0,0,6,497.4148216,0,18
562861,1,0,17,1741.013101,0,-20
562919,0,0,16,1920.024267,0,13440.16987
562955,0,1,19,476.5974986,139.050408,29
562982,1,0,6,1757.10665,189.6917391,44
563019,0,0,12,1460.457931,0,2920.915861
563055,0,0,7,1629.2167,154.6402776,45
563064,0,0,20,1683.573873,167.4684722,17
563121,1,0,19,1562.9291,0,39
563130,0,0,16,1521.525979,119.2785967,19
563158,1,3,20,1475.072347,0,2950.144694
563167,1,0,19,552.4482275,126.5110196,-4
563185,1,1,7,1618.728105,0,-57
563206,1,1,15,1502.575827,0,-87
563224,0,0,10,1807.402938,27.74990736,14
563233,1,0,20,1324.425397,26.77976589,-16
563242,1,0,13,511.5982012,0,511.5982012
563251,1,1,22,492.0670849,0,492.0670849
563260,0,0,14,1310.292103,165.1397912,5241.168411
563279,1,1,4,512.9128707,0,-47
563288,1,0,2,1243.613958,0,-12
563327,0,0,17,506.2754544,0,0
563411,1,1,14,1276.319428,42.66526428,-74
563448,1,1,3,1455.456281,0,-42
563466,1,0,19,478.1982257,0,14
563475,1,0,14,1601.739843,37.27227669,8
563493,1,2,9,1807.464568,0,1807.464568
563532,1,0,7,1385.461824,0,23
563587,1,1,19,1615.243369,0,-18
563617,2,1,16,1836.724339,0,1836.724339
563635,1,0,11,2110.627324,0,-79
563644,1,1,13,519.2046832,46.02405149,23
563701,1,1,9,1814.773188,0,40
563710,0,0,5,1739.285016,166.3924752,19
563747,0,0,13,458.5396166,29.32145951,12
563756,1,1,16,1816.895965,29.9626437,23
563783,0,0,16,1367.240348,9.703771329,11
563804,1,1,16,2629.17479,0,-89
563840,0,0,1,1615.823829,0,7
563859,1,2,19,498.4889699,0,498.4889699
563868,1,1,9,485.1054445,183.3590433,-15
563886,0,0,9,1525.679828,37.46103593,40
563934,0,0,3,1856.010944,164.9907627,17
563961,2,2,22,520.7480523,0,-61
563998,1,1,7,1551.123743,0,1551.123743
564007,1,0,21,1178.238141,175.1239449,-23
564016,0,2,5,524.6848384,0,1049.369677
564034,0,1,11,1447.598997,0,23
564052,1,0,11,1727.250594,69.58547087,-6
564070,1,1,11,1950.940594,0,44
564098,1,1,16,465.9831467,0,465.9831467
564119,1,0,2,1733.879714,127.695429,15
564128,1,0,5,1440.852398,0,-44
564155,1,2,15,1710.150906,0,1710.150906
564164,0,1,8,1668.371213,0,2
564173,0,1,4,565.5809645,93.99964265,1131.161929
564182,0,0,16,1709.816699,0,47
564191,1,1,13,1395.562573,0,-69
564203,1,1,16,1544.749639,132.5961688,-94
564212,0,0,5,1471.740976,0,48
564221,1,1,3,1675.122621,67.73707439,-83
564230,1,0,19,483.2910248,0,-24
564276,0,1,1,1417.664062,163.6273823,39
564315,1,0,6,1299.48577,53.38250368,-39
564333,1,0,5,520.2448154,95.35397062,-15
564342,1,0,4,1122.208022,0,36
564379,1,0,8,477.9341324,0,-72
564388,0,0,4,546.3080056,0,14
564454,0,0,7,1162.613505,0,39
564463,0,1,18,1343.652185,7.473828204,2687.304371
564490,1,0,12,1449.769888,0,32
564511,1,1,1,2092.083221,0,-36
564548,1,2,6,1651.408716,81.5113453,1651.408716
564557,1,0,14,1391.456647,158.5510281,-20
564566,1,1,10,1169.278127,166.6224908,5846.390637
564584,1,0,13,1462.544703,0,-15
564623,2,2,15,1658.023083,0,-26
564632,0,0,11,477.1570822,0,50
564641,1,1,21,1781.642702,0,8
564696,1,0,12,1683.030183,138.5365249,40
564708,1,1,19,1619.577787,31.93684608,-42
564744,1,0,15,1721.431375,0,3442.862749
564771,1,0,17,523.8832366,162.6688868,523.8832366
564801,0,0,16,1101.654302,0.214131639,32
564829,1,0,13,1434.890369,73.4776874,3
564838,0,0,10,780.60187,0,2
564847,2,1,21,485.5113213,0,20
564856,0,0,6,444.9854658,0,38
564865,2,2,8,2045.009332,0,4090.018663
564874,0,0,9,485.2998989,118.818969,5
564883,1,1,13,2157.604744,76.13606971,-81
564892,1,0,20,1461.090501,0,3
564931,1,0,15,1493.970988,0,2987.941975
564959,0,0,12,1510.331767,159.3177342,48
564968,2,0,19,1117.416946,166.1373122,-10
564977,1,1,15,519.7748418,72.76906085,-34
564986,0,0,19,519.068943,0,9
564995,1,1,18,1612.016485,0,32
565031,0,0,11,1469.964689,50.00197657,49
565040,1,2,8,1619.221253,0,3238.442505
565059,1,1,10,498.1367988,0,-3
565077,0,3,14,1601.987036,61.32725567,6407.948145
565095,0,0,20,1385.696861,0,43
565116,1,0,19,1529.209554,0,43
565134,1,1,3,503.6186047,0,-40
565143,0,1,19,1813.877106,197.2261524,19
565161,1,0,19,1700.590525,189.3151577,-48
565170,1,1,16,504.4420627,12.31979703,-52
565198,1,0,19,2230.58466,0,-13
565237,1,1,12,493.127637,1.551917461,-81
565255,1,1,8,565.8642984,0,-5
565273,0,0,16,485.9653027,0,14
565282,2,2,4,1821.53381,38.06094047,49
565312,0,0,9,1844.887489,54.27159298,25
565358,2,2,9,1664.787547,0,-45
565367,1,0,3,1544.475947,0,0
565376,0,0,1,1681.663627,0,41
565385,1,1,15,1310.730761,52.42675981,-65
565424,0,0,4,1337.175303,0,36
565451,0,1,4,1298.166016,138.9276808,0
565460,0,1,13,1676.093736,98.0041476,24
565479,0,0,5,1921.620316,0,3843.240632
565536,0,0,13,1224.157393,83.19832979,26
565554,0,0,19,1469.984809,0,19
565590,0,0,2,1929.688818,0,10
565611,0,0,10,1752.729852,34.09241072,46
565639,1,1,15,1236.565549,0,-56
565657,1,0,12,1779.084747,69.06089904,-43
565684,0,0,6,491.931311,119.9430022,47
565693,1,1,1,1841.470757,159.6490544,26
565705,1,0,16,1771.359217,75.90085816,-2
565723,1,0,14,504.7180525,147.2449483,-36
565741,1,0,2,1590.145155,0,44
565769,1,0,11,508.4415955,45.32334458,-20
565778,0,0,10,1489.38325,0,31
565787,1,1,8,505.5987319,59.7344699,-55
565796,0,0,5,1355.323668,148.8312097,10
565808,0,2,22,1760.689453,0,5282.06836
565826,0,0,18,1751.550584,0,10
565835,1,0,1,1465.293057,54.78674443,14
565844,1,1,14,466.7258283,0,-17
565853,0,0,6,487.274083,0,41
565871,0,0,18,1646.948281,112.2451569,3293.896561
565880,0,1,20,1461.075131,0,0
565901,0,0,15,1250.064873,90.80866277,36
565910,1,0,14,478.6407163,89.26984711,478.6407163
565938,1,1,5,1903.219214,99.83300081,-16
565947,0,1,6,451.8342854,0,47
565965,1,1,15,456.2968698,0,-62
565974,1,1,17,495.7880873,77.04944496,28
565983,0,0,1,1425.570425,165.8452576,5
566047,0,0,11,541.3311139,0,34
566074,1,1,19,497.4601191,0,-3
566083,2,1,16,1827.207199,0,1827.207199
566104,0,0,2,1643.81837,0,22
566113,1,0,10,542.6890216,0,-52
566122,1,0,10,1227.735033,0,-46
566131,1,1,9,486.3316404,0,-26
566168,0,0,12,520.4091023,147.4679483,26
566186,0,0,18,562.7575461,0,42
566216,0,0,20,479.0749314,158.7610664,41
566261,1,0,9,1458.034269,0,-56
566270,0,0,1,446.2456327,126.0827354,24
566298,0,1,15,2007.620434,0,4015.240867
566319,1,1,18,1417.159943,0,-14
566337,0,1,16,518.9304934,141.1290307,43
566346,0,0,10,1808.971975,0,3617.94395
566391,2,1,14,472.0320433,199.8341187,-21
566403,1,0,4,513.3823581,28.08617923,-8
566485,1,1,3,1776.268911,0,-68
566524,0,0,18,539.7401366,93.66048757,22
566542,0,0,5,1970.444049,0,9
566551,0,3,21,1810.753641,0,5432.260924
566560,0,0,4,1138.450946,0,40
566597,1,1,21,521.5453584,0,-94
566609,1,0,1,1738.917777,155.8151871,-58
566645,1,0,1,2086.519199,168.484699,19
566672,1,1,10,2152.627553,166.3076779,33
566711,0,1,3,1669.69415,40.78828605,5
566739,3,1,21,1544.795527,0,1544.795527
566757,1,0,1,1242.563863,182.8839485,-92
566793,0,0,12,1325.849106,157.6817452,43
566814,1,0,2,1730.86832,2.498039439,-23
566832,1,0,16,518.5564479,0,-55
566850,1,1,19,1552.691464,136.0340376,46
566869,1,0,9,1322.615235,137.4511084,-92
566908,1,0,4,1398.432911,20.25674434,36
566962,1,2,7,1587.930548,28.01533689,3175.861095
567017,1,0,19,1764.292568,165.5674253,14
567026,1,0,9,538.6005326,120.4642419,-12
567035,1,1,14,516.3931421,138.1956838,3
567101,1,0,11,1878.920259,18.41801591,49
567129,0,0,10,442.2089395,0,884.4178789
567138,0,0,4,482.9101924,94.95320536,49
567147,0,0,13,1763.577269,6.015566911,16
567165,1,1,2,526.217397,87.62879414,-42
567213,1,1,13,515.2421015,154.9577922,515.2421015
567222,0,0,10,472.3044518,168.6337432,22
567259,1,2,4,1087.099883,0,1087.099883
567268,1,1,7,485.1425641,0,27
567307,1,0,6,1920.194803,0,-25
567325,1,0,13,1885.109587,0,6
567398,5,5,5,1613.168448,0,-4
567419,2,1,19,1418.734595,147.0340813,-87
567428,1,0,10,544.2285308,0,544.2285308
567437,1,1,21,1765.927495,0,1765.927495
567464,1,0,13,1417.31083,63.08569542,-18
567482,1,0,5,1846.498475,18.40418501,31
567503,0,1,3,2056.929345,0,4113.85869
567521,1,1,3,1527.822876,0,41
567567,4,1,10,1204.981206,23.93557291,-36
567624,1,0,10,539.0189333,0,-98
567660,0,0,19,464.6570186,196.2839358,929.3140372
567754,1,0,2,476.6589256,0,-59
567772,0,0,18,526.3155328,126.5967145,0
567781,0,0,9,539.2288089,0,29
567790,1,1,10,474.7247712,0,15
567802,1,0,17,1915.232411,0,8
567811,0,0,14,1292.901358,43.07363243,2585.802717
567848,1,0,10,1994.149287,144.2363706,-71
567866,0,0,11,1256.830891,24.11647826,18
567923,1,2,20,1759.446799,0,1759.446799
567932,0,0,7,553.3841538,178.3724371,37
567941,0,0,4,1321.025912,0,20
